ID,Title,Author,Genre,Price,Rating,Stock
1,The Silent Patient,Alex Michaelides,Thriller,12.99,4.5,34
2,Where the Crawdads Sing,Delia Owens,Mystery,15.99,4.8,12
3,Educated,Tara Westover,Biography,13.99,4.7,8
4,Becoming,Michelle Obama,Biography,18.99,4.9,5
5,The Great Gatsby,F. Scott Fitzgerald,Classic,10.99,4.4,25
6,1984,George Orwell,Classic,9.99,4.6,42
7,To Kill a Mockingbird,Harper Lee,Classic,11.99,4.8,30
8,The Alchemist,Paulo Coelho,Fiction,14.99,4.2,15
9,The Catcher in the Rye,J.D. Salinger,Classic,10.50,4.0,18
10,The Road,Cormac McCarthy,Fiction,16.50,4.1,10
11,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-help,13.95,4.3,22
12,Thinking, Fast and Slow,Daniel Kahneman,Non-fiction,17.00,4.6,14
13,Sapiens,Yuval Noah Harari,Non-fiction,19.99,4.7,9
14,Normal People,Sally Rooney,Fiction,12.50,4.0,20
15,Atomic Habits,James Clear,Self-help,11.98,4.8,16
16,The Power of Habit,Charles Duhigg,Self-help,14.99,4.4,13
17,The Night Circus,Erin Morgenstern,Fantasy,16.00,4.5,7
18,Circe,Madeline Miller,Fantasy,15.99,4.6,11
19,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,10.99,4.9,50
20,The Hobbit,J.R.R. Tolkien,Fantasy,12.99,4.7,33
